;model_paths;pruning_type;model_type;gpd_base;seed;finetuned;dataset;metric;metric_used
171;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD5_GPD-30_PRUNED_SEED_23.pth;SenpisFaster;PD5;30;23;False;CIFAR10;47.85;accuracy
172;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD5_GPD-50_PRUNED_FT_SEED_23.pth;SenpisFaster;PD5;50;23;True;CIFAR10;93.02;accuracy
173;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD5_GPD-50_PRUNED_SEED_23.pth;SenpisFaster;PD5;50;23;False;CIFAR10;10.95;accuracy
174;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD4_GPD-20_PRUNED_FT_SEED_23.pth;SenpisFaster;PD4;20;23;True;CIFAR10;94.9;accuracy
175;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD4_GPD-20_PRUNED_SEED_23.pth;SenpisFaster;PD4;20;23;False;CIFAR10;81.41;accuracy
176;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD4_GPD-30_PRUNED_FT_SEED_23.pth;SenpisFaster;PD4;30;23;True;CIFAR10;94.68;accuracy
177;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD4_GPD-30_PRUNED_SEED_23.pth;SenpisFaster;PD4;30;23;False;CIFAR10;34.43;accuracy
178;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD4_GPD-50_PRUNED_FT_SEED_23.pth;SenpisFaster;PD4;50;23;True;CIFAR10;93.43;accuracy
179;models/CIFAR10\VGG16_CIFAR10_SenpisFaster_PD4_GPD-50_PRUNED_SEED_23.pth;SenpisFaster;PD4;50;23;False;CIFAR10;10;accuracy
180;models/CIFAR10\VGG16_CIFAR10_UNPRUNED.pth;;UNPRUNED;;;False;CIFAR10;95.3;accuracy
181;models/CIFAR10\VGG16_CIFAR10_weight_PD2_GPD-20_PRUNED_FT_SEED_23.pth;weight;PD2;20;23;True;CIFAR10;94.7;accuracy
182;models/CIFAR10\VGG16_CIFAR10_weight_PD2_GPD-20_PRUNED_SEED_23.pth;weight;PD2;20;23;False;CIFAR10;10;accuracy
183;models/CIFAR10\VGG16_CIFAR10_weight_PD2_GPD-30_PRUNED_FT_SEED_23.pth;weight;PD2;30;23;True;CIFAR10;94.1;accuracy
184;models/CIFAR10\VGG16_CIFAR10_weight_PD2_GPD-30_PRUNED_SEED_23.pth;weight;PD2;30;23;False;CIFAR10;10;accuracy
185;models/CIFAR10\VGG16_CIFAR10_weight_PD2_GPD-50_PRUNED_FT_SEED_23.pth;weight;PD2;50;23;True;CIFAR10;91.91;accuracy
186;models/CIFAR10\VGG16_CIFAR10_weight_PD2_GPD-50_PRUNED_SEED_23.pth;weight;PD2;50;23;False;CIFAR10;10;accuracy
187;models/CIFAR10\VGG16_CIFAR10_weight_PD3_GPD-20_PRUNED_FT_SEED_23.pth;weight;PD3;20;23;True;CIFAR10;94.91;accuracy
188;models/CIFAR10\VGG16_CIFAR10_weight_PD3_GPD-20_PRUNED_SEED_23.pth;weight;PD3;20;23;False;CIFAR10;10.4;accuracy
189;models/CIFAR10\VGG16_CIFAR10_weight_PD3_GPD-30_PRUNED_FT_SEED_23.pth;weight;PD3;30;23;True;CIFAR10;94.97;accuracy
190;models/CIFAR10\VGG16_CIFAR10_weight_PD3_GPD-30_PRUNED_SEED_23.pth;weight;PD3;30;23;False;CIFAR10;10;accuracy
191;models/CIFAR10\VGG16_CIFAR10_weight_PD3_GPD-50_PRUNED_FT_SEED_23.pth;weight;PD3;50;23;True;CIFAR10;93.95;accuracy
192;models/CIFAR10\VGG16_CIFAR10_weight_PD3_GPD-50_PRUNED_SEED_23.pth;weight;PD3;50;23;False;CIFAR10;10;accuracy
193;models/CIFAR10\VGG16_CIFAR10_weight_PD1_GPD-20_PRUNED_FT_SEED_23.pth;weight;PD1;20;23;True;CIFAR10;94.46;accuracy
194;models/CIFAR10\VGG16_CIFAR10_weight_PD1_GPD-20_PRUNED_SEED_23.pth;weight;PD1;20;23;False;CIFAR10;10;accuracy
195;models/CIFAR10\VGG16_CIFAR10_weight_PD1_GPD-30_PRUNED_FT_SEED_23.pth;weight;PD1;30;23;True;CIFAR10;94.35;accuracy
196;models/CIFAR10\VGG16_CIFAR10_weight_PD1_GPD-30_PRUNED_SEED_23.pth;weight;PD1;30;23;False;CIFAR10;10;accuracy
197;models/CIFAR10\VGG16_CIFAR10_weight_PD1_GPD-50_PRUNED_FT_SEED_23.pth;weight;PD1;50;23;True;CIFAR10;93.43;accuracy
198;models/CIFAR10\VGG16_CIFAR10_weight_PD1_GPD-50_PRUNED_SEED_23.pth;weight;PD1;50;23;False;CIFAR10;10;accuracy
199;models/CIFAR10\VGG16_CIFAR10_weight_PD5_GPD-20_PRUNED_FT_SEED_23.pth;weight;PD5;20;23;True;CIFAR10;94.89;accuracy
200;models/CIFAR10\VGG16_CIFAR10_weight_PD5_GPD-20_PRUNED_SEED_23.pth;weight;PD5;20;23;False;CIFAR10;10;accuracy
201;models/CIFAR10\VGG16_CIFAR10_weight_PD5_GPD-30_PRUNED_FT_SEED_23.pth;weight;PD5;30;23;True;CIFAR10;94.29;accuracy
202;models/CIFAR10\VGG16_CIFAR10_weight_PD5_GPD-30_PRUNED_SEED_23.pth;weight;PD5;30;23;False;CIFAR10;10;accuracy
203;models/CIFAR10\VGG16_CIFAR10_weight_PD5_GPD-50_PRUNED_FT_SEED_23.pth;weight;PD5;50;23;True;CIFAR10;92.96;accuracy
204;models/CIFAR10\VGG16_CIFAR10_weight_PD5_GPD-50_PRUNED_SEED_23.pth;weight;PD5;50;23;False;CIFAR10;10;accuracy
205;models/CIFAR10\VGG16_CIFAR10_weight_PD4_GPD-20_PRUNED_FT_SEED_23.pth;weight;PD4;20;23;True;CIFAR10;94.8;accuracy
206;models/CIFAR10\VGG16_CIFAR10_weight_PD4_GPD-20_PRUNED_SEED_23.pth;weight;PD4;20;23;False;CIFAR10;10;accuracy
207;models/CIFAR10\VGG16_CIFAR10_weight_PD4_GPD-30_PRUNED_FT_SEED_23.pth;weight;PD4;30;23;True;CIFAR10;94.23;accuracy
208;models/CIFAR10\VGG16_CIFAR10_weight_PD4_GPD-30_PRUNED_SEED_23.pth;weight;PD4;30;23;False;CIFAR10;10;accuracy
209;models/CIFAR10\VGG16_CIFAR10_weight_PD4_GPD-50_PRUNED_FT_SEED_23.pth;weight;PD4;50;23;True;CIFAR10;93.11;accuracy
210;models/CIFAR10\VGG16_CIFAR10_weight_PD4_GPD-50_PRUNED_SEED_23.pth;weight;PD4;50;23;False;CIFAR10;10;accuracy
